ID,Nome,Tipo,Documento,Email,Telefone,Endereco,Status
485,Dra. Gabriela Novaes,Cliente,514.037.986-48,cecilia25@example.com,31 4896-5396,"Estação Rodrigues, 7, Alto Barroca, 10137696 Viana / RN",Inativo
486,Sofia Brito,Fornecedor,45.703.289/0001-43,pda-mata@example.com,+55 (011) 7942-5668,"Vereda Hellena Novaes, 9, Novo Glória, 01635-809 Aparecida / MA",Inativo
487,Srta. Olívia Jesus,Fornecedor,24.951.780/0001-13,gsa@example.net,+55 51 7097 7803,"Vale Melo, Ribeiro De Abreu, 30195-118 Albuquerque / MA",Inativo
488,Sra. Maysa da Cruz,Fornecedor,96.725.380/0001-09,cunhamatteo@example.org,+55 71 0377 9520,"Pátio Milena Vasconcelos, 10, Chácara Leonina, 34072-896 Barros de Pacheco / AC",Inativo
489,João Miguel da Rocha,Fornecedor,18.934.762/0001-20,kfarias@example.com,+55 51 7534 6339,"Viela Eduarda Pastor, 980, Vila Novo São Lucas, 64550-299 Moreira da Serra / SP",Inativo
490,Letícia Moreira,Fornecedor,921.874.035-05,email_invalid,ABC123,"Trevo Ribeiro, 96, Boa Vista, 46914-851 Jesus do Norte / MS",Desativo
491,Giovanna Gomes,Fornecedor,29.487.163/0001-22,vianaandre@example.org,+55 41 9896-3837,"Fazenda de Siqueira, 10, Candelaria, 94019292 Caldeira de Teixeira / RO",Inativo
492,Ester Andrade,Fornecedor,71.890.346/0001-50,ana-sophiavasconcelos@example.com,71 3571-3918,"Aeroporto Levi Machado, Novo Aarão Reis, 05011495 Cardoso de Goiás / DF",Inativo
493,Théo Moura,Cliente,741.629.830-03,hadassa15@example.net,+55 (011) 8045-9396,"Rodovia Leão, 60, Solar Do Barreiro, 02591233 Pacheco de Cunha / AM",Inativo
494,Lunna Duarte,Fornecedor,05.274.163/0001-86,mfreitas@example.org,+55 (051) 5438-8738,"Colônia Rodrigo Costela, 764, Canaa, 87495-437 Rios / PE",Ativo
495,Emanuel Sousa,Cliente,359.168.072-95,montenegrohenry@example.org,31 2826-3301,"Recanto Dante Araújo, 1, Fazendinha, 86346465 Câmara da Serra / AM",Inativo
496,Lucas Gabriel Fernandes,Cliente,314.029.756-43,pedro-miguel48@example.org,+55 (084) 6627-2796,"Campo Asafe Novaes, 97, Jardim Do Vale, 71170708 Peixoto dos Dourados / AC",Ativo
497,Matteo Fernandes,Fornecedor,65.291.843/0001-30,maria-ceciliacostela@example.org,0500-444-7322,"Passarela Mendonça, 3, Etelvina Carneiro, 70880135 Novaes / SE",Inativo
498,Renan Barbosa,Fornecedor,05.436.789/0001-41,bda-mata@example.com,0900 647 5730,"Favela Yago Albuquerque, 1, Satelite, 69071-477 Pacheco da Serra / RR",Inativo
499,Dr. Guilherme Pastor,Fornecedor,78.431.926/0001-29,valentim99@example.net,61 7086 8912,"Trecho da Costa, 49, Marilandia, 60244-887 Rezende de Cardoso / PA",Inativo
500,Maria Júlia Gomes,Cliente,64.931.270/0001-07,email_invalid,ABC123,"Colônia de Peixoto, Capitão Eduardo, 11452-587 Sousa de da Luz / PR",
501,Luiz Felipe Rios,Fornecedor,89.325.406/0001-58,xcardoso@example.com,+55 (031) 9855 1516,"Lagoa Maria Vitória Pereira, 2, Conjunto Jatoba, 82201-011 Moura Verde / AP",Ativo
502,Vitória Camargo,Fornecedor,18.472.369/0001-62,ana-claranovaes@example.com,+55 21 5338-4954,"Viela Benjamin Sousa, Esperança, 80902-136 Monteiro / PE",Ativo
503,Ana Carolina Camargo,Fornecedor,08.642.391/0001-50,anthony-gabrielcaldeira@example.com,+55 (031) 4778-1573,"Ladeira Vargas, 2, Piraja, 90563742 Martins Paulista / PI",Inativo
504,Rael Cirino,Cliente,948.273.061-50,noahda-costa@example.net,(061) 6593-4359,"Chácara de Aragão, 622, Prado, 71839046 Rios da Prata / GO",Inativo
505,Luigi Cassiano,Fornecedor,89.250.146/0001-07,ifernandes@example.org,+55 81 2916-2758,"Feira Albuquerque, 895, Vila Nova Dos Milionarios, 70045-457 Moraes de Santos / PA",Ativo
506,Cauã Almeida,Cliente,45.860.132/0001-21,email_invalid,ABC123,"Praça Otto Fernandes, 54, Nova Cintra, 15829500 Cardoso das Pedras / TO",
507,Felipe Nogueira,Cliente,320.654.918-33,cfogaca@example.net,(051) 3000-2627,"Avenida Heloisa Pastor, 9, Independência, 82038201 Santos das Pedras / AC",Inativo
508,Sr. José Miguel Nascimento,Cliente,861.394.527-91,manuela68@example.com,71 1624-8769,"Estação Guilherme Campos, 28, Jardim São José, 58179-804 Machado da Praia / CE",Inativo
509,Sra. Maria Sophia Câmara,Fornecedor,80.324.791/0001-44,teixeirasamuel@example.net,0500 532 8081,"Viela Eduarda Oliveira, 2, Santo Agostinho, 29843297 Rocha / AP",Ativo
510,Ayla Lopes,Cliente,320.145.967-43,gsantos@example.net,84 8423 6906,"Quadra de da Costa, 90, Zilah Sposito, 46894022 Cunha de Gonçalves / PA",Inativo
511,Mathias da Mota,Cliente,965.043.817-39,carvalholiz@example.com,31 6968-2809,"Largo de Aparecida, Vila Havaí, 73688-083 Costela das Pedras / SE",Inativo
512,Thiago Jesus,Cliente,685.231.970-95,luiz-fernando49@example.com,21 8652-6614,"Vale Rodrigo Nascimento, 472, Goiania, 84441051 Garcia do Norte / ES",Ativo
513,Bella da Luz,Cliente,740.689.312-40,peixotomariane@example.net,71 1007 7306,"Área Cunha, 97, Vila Tirol, 60729-740 Fernandes da Mata / RS",Inativo
514,Pedro Henrique Pastor,Fornecedor,01.685.394/0001-21,klima@example.com,+55 21 3817 9750,"Alameda Maria Dias, 33, Serrano, 76136565 Sales / SE",Ativo
515,Sra. Catarina das Neves,Cliente,302.894.167-87,otaviomacedo@example.net,+55 (071) 8315-9316,"Colônia de Correia, Guaratã, 22506870 Castro do Campo / RR",Inativo
516,Eduardo Vargas,Cliente,467.035.192-34,hdias@example.com,+55 (031) 2652-8574,"Ladeira Pereira, 65, Cinquentenário, 34784-798 Cunha / RR",Inativo
517,Antonella da Rosa,Cliente,385.702.469-00,theosantos@example.net,+55 11 9604 8242,"Esplanada Caroline Souza, 218, Conjunto Paulo Vi, 74793-878 Barbosa / RJ",Ativo
518,Daniel Ferreira,Fornecedor,93.051.847/0001-86,novaesmateus@example.com,41 9221 6559,"Viaduto Joaquim Marques, Pousada Santo Antonio, 92176-984 Pires de Brito / AC",Inativo
519,Maria Julia Vasconcelos,Fornecedor,527.903.614-52,email_invalid,ABC123,"Largo da Mota, 947, Nova Pampulha, 15727-914 Moreira de Nogueira / AP",ativo
520,Emanuella Pastor,Fornecedor,384.176.952-73,email_invalid,ABC123,"Área de Montenegro, 433, Ernesto Nascimento, 14881157 Vieira Paulista / PI",
521,Srta. Alana Albuquerque,Cliente,384.276.059-00,britonathan@example.net,+55 41 8594 2278,"Lagoa Freitas, Bandeirantes, 84547-059 Garcia de Gomes / PR",Ativo
522,Manuella Ribeiro,Cliente,450.976.281-01,kevin33@example.net,71 5168-8667,"Sítio Pinto, 43, Biquinhas, 51058467 Andrade / MS",Ativo
523,Miguel Dias,Fornecedor,38.754.129/0001-68,garciadavi-miguel@example.org,+55 11 0251-4621,"Praia de Sousa, 25, Jardim América, 34483951 Araújo de Farias / BA",Inativo
524,Lunna Correia,Fornecedor,87.204.615/0001-18,ycaldeira@example.net,+55 41 7973-2334,"Estrada Nascimento, Guaratã, 85999-414 Sá / DF",Ativo
525,Maysa Machado,Cliente,251.930.874-50,luiz-otaviofarias@example.org,+55 (041) 1507 7115,"Travessa Isabela da Luz, 35, Fazendinha, 83994-510 Martins / MT",Ativo
526,Marcos Vinicius Santos,Fornecedor,76.948.203/0001-76,aylla19@example.org,+55 (021) 2737-3333,"Favela Eduardo da Luz, 67, Grotinha, 63475-176 da Rocha / MG",Ativo
527,Helena Moraes,Cliente,247.931.586-09,vinicius78@example.net,(021) 2842-7153,"Vale Rocha, 937, Barro Preto, 85595-458 Freitas de da Paz / PB",Inativo
528,Benício da Paz,Fornecedor,89.412.750/0001-84,sampaiodom@example.org,31 8039-0923,"Setor Mendes, 662, João Alfredo, 66299277 Aragão / PE",Inativo
529,Bruno Monteiro,Cliente,350.418.769-75,fteixeira@example.net,+55 (061) 2980-7084,"Trecho de Ramos, 7, Jonas Veiga, 95350-486 Pinto do Sul / MS",Inativo
530,Clara Mendes,Cliente,179.438.625-46,ucarvalho@example.org,71 8019 3516,"Aeroporto de Sá, Novo Ouro Preto, 38902381 Cirino de Vargas / AL",Inativo
531,Thiago Novais,Fornecedor,38.946.721/0001-61,vitor-gabrielmonteiro@example.com,+55 (021) 1453-1489,"Colônia Eduardo Caldeira, 4, Miramar, 03727-841 Costa / MS",Ativo
532,Carlos Eduardo Novaes,Cliente,607.523.894-83,yuri21@example.org,+55 (011) 0759-5012,"Pátio Maria Isis Pereira, 7, Primeiro De Maio, 43988602 Machado / PI",Ativo
533,Thomas Almeida,Cliente,529.083.746-92,da-conceicaoerick@example.com,+55 (031) 4610-7093,"Vereda Carolina da Rosa, 572, Conjunto Santa Maria, 58991584 Borges / TO",Ativo
534,Maria Julia Novaes,Cliente,724.890.153-97,caroline98@example.net,(061) 0047 0627,"Quadra de Barbosa, 49, Vila Olhos D'água, 63430073 Novais Paulista / PE",Ativo
535,Zoe Sales,Fornecedor,58.431.079/0001-95,montenegromaria-isis@example.org,(011) 6331-8002,"Ladeira de Mendonça, 26, Flamengo, 49921150 Nunes / PR",Ativo
536,Sr. Pedro Miguel Jesus,Fornecedor,26.178.549/0001-64,diasanna-liz@example.com,+55 81 0728-2891,"Estrada de Silva, 8, Vila Pilar, 65068-285 Barbosa / MA",Inativo
537,Isabella Rios,Fornecedor,45.670.829/0001-30,maria-julia43@example.org,+55 (051) 4689-8793,"Conjunto Costela, 79, Flavio De Oliveira, 90049-297 Moreira do Oeste / AP",Inativo
538,Juan Mendonça,Cliente,65.341.927/0001-30,email_invalid,ABC123,"Viaduto da Conceição, 98, Santa Cecilia, 15859696 Leão / MA",ativo
539,Pedro Miguel Garcia,Cliente,715.892.603-68,luiz-felipecosta@example.net,(041) 9773-4702,"Feira Castro, 14, Carlos Prates, 87995-671 Brito / MS",Inativo
540,Mariah Novaes,Fornecedor,14.958.326/0001-30,carvalhosabrina@example.net,+55 81 5935-0264,"Travessa Luara Souza, Vila Da Paz, 38042934 Pimenta de Vasconcelos / PB",Ativo
541,Renan Almeida,Cliente,14.685.073/0001-79,email_invalid,ABC123,"Conjunto Arthur Gabriel Carvalho, 706, Cidade Jardim, 29719140 da Conceição / RJ",Desativo
542,Gabriel Nascimento,Cliente,985.471.206-02,ramoszoe@example.org,+55 (051) 2321-3079,"Travessa Pires, 50, Serra Do Curral, 32707504 Dias / RS",Ativo
543,Pedro Novais,Cliente,35.619.240/0001-53,email_invalid,ABC123,"Viaduto Martins, 92, Santa Rosa, 56874-336 da Cunha de Machado / ES",Desativo
544,Thomas Pinto,Cliente,915.468.320-33,salesmelissa@example.com,21 3547 8691,"Núcleo da Cunha, 8, Mangabeiras, 07092-497 Casa Grande / AL",Inativo
545,Sophie Castro,Fornecedor,53.872.061/0001-05,alicia50@example.com,21 5788 8836,"Parque Lima, Vila São Francisco, 12867-275 Rocha do Sul / MS",Ativo
546,Maria Laura Albuquerque,Cliente,483.972.501-23,sousamarina@example.net,(084) 9344-3689,"Praça Silveira, Andiroba, 01198-769 da Mata de Moraes / PB",Ativo
547,Aylla Fogaça,Cliente,526.089.714-58,hellenada-cunha@example.net,31 4353 1150,"Esplanada Ferreira, 612, Bonsucesso, 98709-334 Mendonça / RJ",Inativo
548,Beatriz Abreu,Cliente,29.340.685/0001-05,email_invalid,ABC123,"Sítio de Cassiano, Belmonte, 21431052 Nogueira da Serra / RR",Desativo
549,Dr. Léo da Conceição,Fornecedor,82.195.746/0001-62,asales@example.net,+55 61 4669-1749,"Recanto de da Mota, 85, Morro Dos Macacos, 88258-225 da Conceição das Flores / AL",Ativo
550,Srta. Maria Luísa Duarte,Cliente,142.605.879-94,leonardo18@example.com,+55 81 1844 0262,"Passarela de Rodrigues, 4, Tupi B, 05635422 Machado das Pedras / PI",Inativo
551,José Miguel Ferreira,Cliente,904.258.631-15,sbrito@example.com,(051) 0947 2791,"Lago de Teixeira, 682, Inconfidência, 56465945 Sampaio de Borges / RS",Inativo
552,Maria Luísa Farias,Fornecedor,23.510.879/0001-17,sda-cunha@example.net,+55 (084) 5491-2259,"Praia Pedro Miguel Aragão, Pindorama, 18333463 Pires / AC",Ativo
553,Dra. Laura Caldeira,Cliente,351.297.048-60,theodorojesus@example.net,31 7956-7980,"Rodovia Maria Isis da Paz, 773, Gutierrez, 36641-347 Cavalcante / SP",Ativo
554,Natália Caldeira,Cliente,528.490.613-60,riosolivia@example.com,21 5031-4213,"Núcleo Sofia Melo, Corumbiara, 46946475 Dias de Minas / PE",Inativo
555,Aurora Moura,Fornecedor,91.047.652/0001-37,theodororodrigues@example.org,0500-932-0638,"Travessa Alves, 41, São Salvador, 27053051 Correia / SE",Ativo
556,Joaquim Cirino,Cliente,610.387.592-77,cavalcanticaroline@example.net,+55 (051) 9498-6866,"Rua Sampaio, 57, Madre Gertrudes, 57893-602 Macedo / ES",Inativo
557,Gustavo Cunha,Fornecedor,71.436.528/0001-56,rmonteiro@example.net,+55 71 1873-4830,"Viaduto Bruna Viana, 1, São Cristóvão, 77755063 Novais das Flores / GO",Ativo
558,Agatha da Luz,Cliente,396.287.054-74,pimentaana-carolina@example.com,11 8525-3862,"Alameda Luigi Câmara, 4, Vila Nova Paraíso, 52115937 Nascimento de Goiás / AL",Inativo
559,Isaque Gomes,Fornecedor,86.123.054/0001-60,ffernandes@example.org,+55 (041) 8515-2281,"Campo de Aragão, 66, Minas Caixa, 85003-227 Ferreira / MT",Inativo
560,Sr. Kaique Porto,Fornecedor,40.387.216/0001-76,ana-laura15@example.com,31 5986-6992,"Largo Barbosa, 4, Vila Da Amizade, 19717-432 Porto / PR",Ativo
561,Vitória Silva,Cliente,582.741.906-02,ida-paz@example.org,(031) 9782-1688,"Aeroporto Souza, 366, Vila Jardim Montanhes, 60200564 Lima / AP",Inativo
562,Milena Rocha,Fornecedor,35.719.042/0001-61,marianapacheco@example.org,+55 41 2695 5829,"Residencial Marina Mendes, 49, Vila São Francisco, 89713054 Guerra / ES",Inativo
563,Sra. Fernanda da Costa,Cliente,873.056.421-26,das-nevesbruna@example.net,+55 31 6565-8640,"Área Alícia Rocha, 704, Esplanada, 79399-761 Araújo / SE",Inativo
564,Dr. João Felipe Sampaio,Cliente,691.743.208-31,ana-ceciliada-luz@example.net,(021) 6322 0041,"Trevo Maya Abreu, 5, Vera Cruz, 77490-844 da Cruz / SE",Ativo
565,Luna Ferreira,Fornecedor,95.164.723/0001-32,diogorezende@example.org,(031) 3444 9840,"Estação Gonçalves, 552, Xodo-Marize, 34027-943 Gonçalves do Campo / SE",Inativo
566,André Dias,Fornecedor,41.963.875/0001-76,ccirino@example.com,(071) 3407 0451,"Viaduto Ravi Campos, 70, João Pinheiro, 69411360 da Rosa Verde / PR",Ativo
567,João Guilherme Casa Grande,Cliente,419.085.362-33,isaque37@example.net,(011) 9085-0358,"Conjunto de Ramos, 67, Varzea Da Palma, 45835368 da Luz / RS",Inativo
568,Luna da Rosa,Cliente,596.083.417-01,stephanycastro@example.net,+55 61 7768 6113,"Núcleo Maria Fernanda Rios, 48, Tirol, 01587307 Moura / MG",Inativo
569,Thomas Martins,Cliente,175.406.389-66,ana-livia15@example.org,+55 41 0514-9434,"Aeroporto Erick Duarte, 72, Vila Olhos D'água, 30789-677 Araújo de Farias / RR",Ativo
570,Hadassa Lopes,Cliente,904.716.582-94,elisaleao@example.org,+55 (061) 4680-7297,"Viaduto Marques, 926, Vila Petropolis, 70845-485 Aragão / PA",Inativo
571,Isadora Albuquerque,Fornecedor,38.157.029/0001-54,pietro32@example.net,(061) 5954 5471,"Viela da Cunha, 71, Conjunto Califórnia Ii, 63696-444 Oliveira / AL",Ativo
572,Sra. Emanuella Guerra,Cliente,762.198.053-21,galves@example.org,+55 31 8709 0226,"Fazenda da Mota, 638, Pedreira Padro Lopes, 31194990 Machado de Silva / ES",Inativo
573,Melina Cirino,Cliente,56.427.839/0001-65,email_invalid,ABC123,"Favela Enrico Novaes, 98, Goiania, 07883445 Cirino / PB",ativo
574,João Nogueira,Fornecedor,15.368.297/0001-10,pachecolorenzo@example.org,0500-967-6423,"Praia Moreira, 3, Beira Linha, 00975498 Siqueira / RJ",Inativo
575,Maria Luiza Farias,Cliente,801.764.293-87,ferreiracecilia@example.net,+55 (031) 8992-2222,"Passarela Lucas Brito, 9, Horto Florestal, 14259-068 Rios / PA",Inativo
576,Dra. Hadassa Sampaio,Fornecedor,48.956.301/0001-10,mayabarbosa@example.com,0900-688-6727,"Ladeira Cunha, 54, Vila Maloca, 73617-685 da Mata / MG",Ativo
577,Luiz Otávio Nogueira,Cliente,429.517.860-85,rebecadias@example.org,(061) 2595 2950,"Colônia de Montenegro, 78, Vila Antena Montanhês, 38843-946 Pereira / ES",Ativo
578,Samuel Sampaio,Cliente,351.028.496-89,hviana@example.org,11 0318 6699,"Campo Dante Câmara, Confisco, 44838-670 Nunes da Serra / GO",Inativo
579,Dr. Nicolas Rezende,Fornecedor,48.672.509/0001-07,camilanovaes@example.net,71 9101 8082,"Travessa Vargas, Vila Boa Vista, 43976018 Montenegro / BA",Inativo
580,Dr. Matheus Nogueira,Cliente,684.092.173-50,vianalara@example.org,+55 41 3183 2735,"Quadra da Mata, 15, Mangabeiras, 71750-526 Nunes de da Cunha / MA",Inativo
581,Srta. Lunna Cavalcanti,Fornecedor,43.710.286/0001-01,olivercardoso@example.net,(021) 4122 4637,"Núcleo Campos, 33, Nossa Senhora Da Aparecida, 60731-046 Silveira / BA",Ativo
582,Yasmin Cavalcanti,Fornecedor,28.694.731/0001-01,lcardoso@example.net,+55 (031) 8236 0049,"Praça de Sousa, 328, Jardim São José, 80737744 Alves do Amparo / RS",Ativo
583,Amanda Albuquerque,Fornecedor,93.784.062/0001-12,vianakamilly@example.com,0500-533-4348,"Recanto Vieira, 29, Pousada Santo Antonio, 50229562 Garcia de Duarte / RR",Ativo
584,João Lucas Mendonça,Fornecedor,09.768.524/0001-00,maria-clara65@example.com,+55 (081) 5199 4364,"Distrito Maria Vitória Andrade, 32, Santa Maria, 19889-294 Sousa / RJ",Ativo
585,Sabrina Leão,Fornecedor,90.357.681/0001-32,ribeirosarah@example.net,+55 (071) 2390 1409,"Feira Thales Barbosa, 72, Nova Granada, 80604-677 Vieira / AP",Inativo
586,Noah Nogueira,Cliente,741.329.086-31,kcastro@example.net,+55 51 7471 9754,"Trecho Brayan Albuquerque, 58, Conjunto Serra Verde, 45937-984 da Mota / TO",Inativo
587,Melina Santos,Fornecedor,92.376.054/0001-74,maria-claracavalcanti@example.org,+55 (011) 4091-8966,"Vereda Luna Souza, 378, Paulo Vi, 55194868 Fernandes / RN",Ativo
588,Cecilia Duarte,Fornecedor,65.817.092/0001-42,ecosta@example.com,+55 (011) 0975 3298,"Vale Arthur Gabriel Rios, 40, Flavio Marques Lisboa, 16954-174 Dias / MS",Ativo
589,Bryan Cunha,Cliente,63.914.857/0001-37,email_invalid,ABC123,"Chácara Carvalho, 94, Vila Ipiranga, 40985481 Melo do Campo / RS",ativo
590,Sra. Maria Luiza da Luz,Cliente,967.045.328-38,yago23@example.org,(041) 4113-3224,"Lagoa de da Costa, 99, Lagoinha Leblon, 70889-800 da Rosa / AP",Ativo
591,Heloísa Siqueira,Fornecedor,37.156.294/0001-55,dante13@example.net,(031) 7917-4824,"Distrito de Mendes, 55, Caiçara - Adelaide, 23375405 Albuquerque / MA",Inativo
592,Sarah Carvalho,Fornecedor,596.187.302-12,email_invalid,ABC123,"Largo Moura, 73, Castanheira, 02577-662 Campos / SE",Desativo
593,Ana Beatriz Gonçalves,Fornecedor,214.703.859-88,email_invalid,ABC123,"Recanto Dom Costela, 13, Ribeiro De Abreu, 36963174 Pinto / MA",ativo
594,Sr. Antony Barbosa,Cliente,950.681.427-94,britomaria-alice@example.com,+55 (031) 1906 0086,"Rua Monteiro, 8, Nova Esperança, 84917-706 Abreu / PI",Inativo
595,João Vitor Rios,Fornecedor,73.052.189/0001-30,avasconcelos@example.org,+55 51 0492 6162,"Setor de Gonçalves, 48, Vila Mangueiras, 81421-126 Nunes de Alves / SE",Ativo
596,Manuela Albuquerque,Fornecedor,061.874.529-76,email_invalid,ABC123,"Núcleo Garcia, 50, Vila Real 2ª Seção, 37013-190 Cassiano / MG",Desativo
597,Luiz Otávio Fonseca,Cliente,039.475.218-04,isabela59@example.net,+55 71 2104 8228,"Distrito de da Mota, 25, Ipiranga, 96692233 Barros / RO",Ativo
598,Levi Carvalho,Cliente,852.641.937-46,melovitor-gabriel@example.net,(051) 2829-4304,"Núcleo Siqueira, Bairro Das Indústrias Ii, 65234760 da Costa / GO",Ativo
599,Sr. Joaquim Melo,Cliente,573.028.914-60,guerraantonella@example.org,+55 (071) 8460-0223,"Distrito de Lopes, 95, Vila Independencia 3ª Seção, 48780-567 Rezende do Galho / MA",Ativo
600,Pietra da Rocha,Fornecedor,96.704.823/0001-77,usampaio@example.org,21 1429 5294,"Estrada Oliveira, Cinquentenário, 83418826 Lopes do Campo / MA",Ativo
601,Thales Vasconcelos,Fornecedor,93.405.278/0001-20,catarinagarcia@example.org,+55 (031) 4414-7803,"Área João Pedro da Mota, 55, Dona Clara, 79865-156 Monteiro / MS",Ativo
602,Pietro Rodrigues,Fornecedor,50.286.379/0001-16,caldeirathomas@example.com,(084) 6382 2427,"Rodovia de Pinto, 75, Outro, 20952246 Aparecida / SE",Inativo
603,Maysa Câmara,Cliente,973.154.820-32,mateusporto@example.com,+55 41 2265-6699,"Viaduto Elisa Carvalho, 89, Copacabana, 61761-863 Nunes das Flores / PA",Ativo
604,Dra. Luara Barros,Fornecedor,45.380.692/0001-89,bruno95@example.net,+55 (081) 2322-5499,"Colônia Moreira, 96, Engenho Nogueira, 29410-839 Jesus / SC",Ativo
605,Leandro Azevedo,Fornecedor,89.247.531/0001-97,da-luzthiago@example.com,+55 (041) 6364-1166,"Aeroporto Gonçalves, Santa Amelia, 89341269 Silveira Grande / GO",Ativo
606,Dr. Isaac da Luz,Cliente,734.082.651-35,ysampaio@example.net,0300-269-9601,"Jardim Ana Clara Costela, 55, Barroca, 34512578 Rocha de da Cunha / SP",Inativo
607,Ana Cecília Mendes,Cliente,153.762.084-35,pietrocassiano@example.org,0300-917-2598,"Rodovia Ribeiro, 90, Vila São João Batista, 10826-053 Abreu / GO",Inativo
608,Gabriel Siqueira,Cliente,681.370.495-84,maria-luisagarcia@example.com,+55 (021) 7130-0385,"Passarela de Cavalcante, 59, Minas Caixa, 03038-693 Casa Grande / TO",Ativo
609,Sofia Pinto,Cliente,549.072.638-56,nataliaalves@example.net,+55 21 6004 9941,"Loteamento Pastor, Boa Esperança, 83992-092 Cassiano / PA",Ativo
610,Davi Lucca Gonçalves,Fornecedor,51.873.902/0001-73,camilapeixoto@example.net,(011) 0186-1729,"Vale Augusto Cunha, 869, São Gonçalo, 84601-875 Silva / PR",Ativo
611,Daniela Barros,Fornecedor,560.419.378-00,email_invalid,ABC123,"Estação de Cavalcante, 2, Saudade, 27364-343 da Paz / MG",
612,Laís Duarte,Fornecedor,81.036.294/0001-03,marcelocorreia@example.net,+55 (071) 8585 3235,"Recanto Ana Beatriz Barbosa, 90, Serrano, 69428578 Caldeira de Albuquerque / PA",Ativo
613,Otto Souza,Fornecedor,17.586.043/0001-01,olivia93@example.org,+55 84 9220-8425,"Fazenda de da Rosa, 7, Estrela Do Oriente, 64327433 da Mota / PE",Ativo
614,Caio Câmara,Cliente,481.563.790-39,fcavalcante@example.org,(031) 5570-8626,"Vereda Sales, 93, Floresta, 59091983 Albuquerque / RS",Inativo
615,Danilo Souza,Fornecedor,49.512.360/0001-61,casa-grandeenzo-gabriel@example.net,+55 84 3488 9889,"Trecho de Cardoso, Gameleira, 38129-685 Montenegro / SC",Inativo
616,Gabriela Macedo,Fornecedor,31.952.476/0001-56,lucas-gabrielpacheco@example.net,+55 41 7761-8238,"Campo de Oliveira, 84, Alpes, 86506-640 Costa / AL",Inativo
617,Mateus Cardoso,Fornecedor,57.924.108/0001-98,laraviana@example.com,+55 (081) 5429 6776,"Trecho Novaes, 6, Carlos Prates, 75655-749 Sampaio / PA",Inativo
618,João Azevedo,Cliente,630.154.782-90,klima@example.org,+55 51 7946 3612,"Via Duarte, 984, Campo Alegre, 16374-416 Lima / GO",Ativo
619,Anthony Gabriel Porto,Fornecedor,64.129.370/0001-06,pguerra@example.org,(061) 3349 4986,"Recanto de da Luz, 6, Vila Nova Gameleira 3ª Seção, 05983631 Sá Grande / ES",Inativo
620,Isadora Vasconcelos,Cliente,253.094.618-33,raulmontenegro@example.org,(081) 8710-0773,"Via Carvalho, Vila Nova Gameleira 2ª Seção, 84631575 Correia do Sul / AP",Inativo
621,Caio da Rocha,Cliente,027.645.319-07,das-nevesmaria-sophia@example.com,(081) 2547 1544,"Ladeira Alícia Pacheco, 97, Santa Cruz, 65005875 Sampaio Alegre / RJ",Inativo
622,Diogo Ribeiro,Cliente,06.481.735/0001-60,email_invalid,ABC123,"Estação Emanuella Freitas, 7, Conjunto Capitão Eduardo, 08239-311 Caldeira do Oeste / RS",ativo
623,Luísa Freitas,Fornecedor,57.149.208/0001-94,maria-juliaandrade@example.org,+55 (061) 6436 6533,"Núcleo de Câmara, 5, Venda Nova, 75807-055 Borges do Campo / PA",Inativo
624,Hellena da Rocha,Cliente,503.174.629-70,acasa-grande@example.net,(084) 4866 7204,"Estrada das Neves, 7, Frei Leopoldo, 81500-938 Borges / CE",Ativo
625,Sra. Bárbara Barbosa,Fornecedor,12.035.769/0001-24,uda-rocha@example.net,+55 41 4121 1413,"Campo Davi Lucca Farias, 25, Taquaril, 18113865 Sales / SE",Ativo
626,Benício Rodrigues,Cliente,549.281.360-98,oliveirarhavi@example.org,31 9848-3958,"Campo Enzo Costela, 77, Conjunto Paulo Vi, 33425-366 Sá do Galho / RJ",Inativo
627,Calebe Cassiano,Fornecedor,49.786.120/0001-55,danielvargas@example.net,+55 21 3706-8367,"Colônia Rezende, Nossa Senhora De Fátima, 38014-987 Rezende de Rezende / PB",Inativo
628,Srta. Sara Cunha,Cliente,051.382.976-86,sabrinacunha@example.org,+55 (081) 3858 7810,"Largo Leão, 66, Boa União 2ª Seção, 92124082 Silveira do Oeste / ES",Ativo
629,Sra. Ana Martins,Fornecedor,15.640.389/0001-07,ksouza@example.com,+55 (061) 1609 3756,"Quadra de Melo, Beija Flor, 98581170 Sales do Norte / ES",Ativo
630,Caroline Freitas,Cliente,583.742.901-88,sophie16@example.com,(031) 9057 8633,"Quadra de Novais, Santa Monica, 84968-190 Nascimento de Vieira / AP",Ativo
631,Nicolas Sousa,Cliente,169.742.350-70,tda-rocha@example.com,+55 84 5134 6628,"Trevo Ana Macedo, 109, Santa Margarida, 34065103 Martins / PR",Inativo
632,Mathias Martins,Cliente,924.105.867-67,boliveira@example.org,+55 (061) 7075 8459,"Viela Siqueira, 10, Boa União 2ª Seção, 75180-188 Rodrigues / AC",Ativo
633,Dr. Lorenzo Caldeira,Fornecedor,95.236.084/0001-73,isadorasales@example.org,+55 (051) 9049-9339,"Núcleo Léo Barbosa, 7, São Luiz, 24227652 Freitas / DF",Inativo
634,Emanuel Aparecida,Fornecedor,47.635.029/0001-03,isaac99@example.net,+55 61 7953-1190,"Morro Barros, 88, Santa Lúcia, 33583-353 Mendonça / RN",Inativo
